rank,country_or_dependent_territory_,population,date,__of_worldpopulation,source
1,China[Note 2],"1,396,820,000","April 9, 2019",18.1%,Official population clock
2,India[Note 3],"1,345,730,000","April 9, 2019",17.5%,Official population clock
3,United States[Note 4],"329,000,000","April 9, 2019",4.27%,Official population clock
4,Indonesia,"268,074,600","July 1, 2019",3.48%,Official annual projection
5,Brazil,"209,750,000","April 9, 2019",2.72%,Official population clock
6,Pakistan,"204,270,000","April 9, 2019",2.65%,Official population clock
7,Nigeria,"193,392,517","July 1, 2016",2.51%,Official estimate
8,Bangladesh,"166,352,000","April 9, 2019",2.16%,Official population clock
9,Russia[Note 5],"146,793,744","January 1, 2019",1.91%,Official estimate
10,Mexico,"126,577,691","July 1, 2019",1.64%,Official annual projection
11,Japan,"126,220,000","March 1, 2019",1.64%,Monthly provisional estimate
12,Philippines,"107,464,000","April 9, 2019",1.4%,Official population clock
13,Ethiopia,"98,665,000","July 1, 2019",1.28%,Official annual projection
14,Egypt,"98,524,300","April 9, 2019",1.28%,Official population clock
15,Vietnam,"95,354,000","July 1, 2019",1.24%,Official annual projection
16,Democratic Republic of the Congo,"86,727,573","July 1, 2019",1.13%,UN Projection
17,Germany,"82,979,100","September 30, 2018",1.08%,Official estimate
18,Iran,"82,351,600","April 9, 2019",1.07%,Official population clock
19,Turkey,"82,003,882","December 31, 2018",1.07%,Official annual estimate
20,France[Note 6],"66,989,000","March 1, 2019",0.87%,Monthly official estimate
21,Thailand,"66,349,492","April 9, 2019",0.86%,Official population clock
22,United Kingdom[Note 7],"66,040,229","June 30, 2017",0.86%,Official annual estimate
23,Italy,"60,375,749","November 30, 2018",0.78%,Monthly official estimate
24,South Africa,"57,725,600","July 1, 2018",0.75%,Official annual estimate
25,Tanzania[Note 8],"55,890,747","July 1, 2019",0.73%,Official annual projection
26,Myanmar,"54,339,766","July 1, 2019",0.71%,Official annual projection
27,Kenya,"52,214,791","July 1, 2019",0.68%,UN projection
28,South Korea,"51,811,167","July 1, 2019",0.67%,Official annual estimate
